"Song","Performer"
"Tubthumping","Chucklebutt"
"Turn Down For What","DJ Snake & Lil Jon"
"Turn Me On","David Guetta Featuring Nicki Minaj"
"Turn Off The Light","Nelly Furtado"
"Turn The Beat Around (From ""The Specialist"")","Gloria Estefan"
"Twisted","Gorilla Zoe Featuring Lil Jon"
"Two Princes","Spin Doctors"
"U + Ur Hand","P!nk"
"U Don't Have To Call","Usher"
"U Got It Bad","Usher"
"U Know What's Up","Donell Jones"
"U Remind Me","Usher"
"Umbrella","Rihanna Featuring Jay-Z"
"Un-Break My Heart","Toni Braxton"
"Unbelievable","Diamond Rio"
"Under The Bridge","Red Hot Chili Peppers"
"Underneath It All","No Doubt Featuring Lady Saw"
"Unfaithful","Rihanna"
"Unforgettable","Dinah Washington"
"Unpredictable","Jamie Foxx Featuring Ludacris"
"Unpretty","TLC"
"Unskinny Bop","Poison"
"Unwell","matchbox twenty"
"Unwritten","Natasha Bedingfield"
"Uptown Funk!","Mark Ronson Featuring Bruno Mars"
"Use Somebody","Kings Of Leon"
"Vision Of Love","Mariah Carey"
"Viva La Vida","Coldplay"
"Vogue","Madonna"
"Waiting For Tonight","Jennifer Lopez"
"Wake Me Up When September Ends","Green Day"
"Wake Me Up!","Avicii"
"Wake Up In The Sky","Gucci Mane X Bruno Mars X Kodak Black"
"Waking Up In Vegas","Katy Perry"
"Walk It Out","Unk"
"Walk It Talk It","Migos Featuring Drake"
"Walked Outta Heaven","Jagged Edge"
"Wannabe","Spice Girls"
"Want To Want Me","Jason Derulo"
"Watch Me","Bella Thorne & Zendaya"
"Water Runs Dry","Boyz II Men"
"Waterfalls","TLC"
"We Are Never Ever Getting Back Together","Taylor Swift"
"We Are Young","fun. Featuring Janelle Monae"
"We Be Burnin'","Sean Paul"
"We Belong Together","Gavin DeGraw"
"We Can't Stop","Miley Cyrus"
"We Fly High","Jim Jones"
"We Found Love","Glee Cast"
"We R Who We R","Ke$ha"
"Weak","AJR"
"What A Girl Wants","Christina Aguilera"
"What About Your Friends","TLC"
"What Do You Mean?","Justin Bieber"
"What Goes Around...Comes Around","Justin Timberlake"
"What Is Love","Haddaway"
"What Lovers Do","Maroon 5 Featuring SZA"
"What Makes You Beautiful","One Direction"
"What Would You Do?","City High"
"What You Know","T.I."
"What You Want","DMX Featuring Sisqo"
